	1	2	3	4	5	6	7	8	9	10	11	12	13	15	16	17	18	19	20	21	22	23
Date Time	DeC2FeedFlow.m	DeC2AmbTemp.m	DeC2FeedTemp.m	DeC2OvhdPress.m	DeC2ProdPress.m	DeC2ProdTemp.m	DeC2OvhdTemp.m	DeC2RefTemp.m	DeC2Tr39Temp.m	% C3 IN C2 COMP	DeC2Tr9Temp.m	DeC2Tr1Temp.m	DeC2RebAVapTemp.m	DeC2BtmTempA.m	DeC2BtmTempB.m	DeC2RefFlow.m	DeC2ProdFlow.m	DeC2RebSteamA.m	DeC2RebSteamB.m	DeC2BtmFlow.m	DeC2TopDeltaP.m	DeC2Bott.DeltaP.m
Date Time	10f010.pv	11T0030.PV	10T0003.PV	10p012.pv	10P020.PV	10T0015.PV	10T0009.PV	10T0010.PV	10T013.PV	10A100C3.PV	10T014.PV	10T0006.PV	10T0002.PV	10T0004.PV	10T0005.PV	10f015.pv	10F016.PV	10f012.pv	10f021.pv	10fz013.pv	10P010.pv	10P011.pv
8/13/2004 15:00	8.728178978	98.61858368	200.8973083	384.9668274	378.8864746	41.62541962	47.45748901	43.59147644	79.41824341	1.437421799	130.8269653	181.067749	198.7267303	201.2209778	204.1933136	6.095571518	5084.390137	91.52539063	92.21569824	5324.524414	1.485352397	2.199193001
8/13/2004 15:05	8.722758293	98.64147186	200.7654877	384.9751282	378.8519592	41.62541962	47.48386002	43.71508026	79.42205811	1.437421799	130.8871918	181.0377808	198.7530823	201.0561829	204.0614777	6.095855236	5047.706543	92.0014801	92.22263336	5358.128418	1.481261134	2.19804883
8/13/2004 15:10	8.72968483	98.12281036	200.6336212	384.98349	I/O Timeout	41.62541962	47.51022339	43.11081696	79.39263153	I/O Timeout	130.7533722	181.0132141	198.7794647	200.8023987	203.8347168	6.077568531	5034.805176	91.67874146	92.26663208	5354.881348	1.477169871	2.196904659
8/13/2004 15:15	8.728185654	98.50629425	200.4068909	384.9918213	I/O Timeout	I/O Timeout	47.53659439	43.06247711	79.52125549	I/O Timeout	130.8156128	I/O Timeout	198.8058167	201.2965393	204.4411774	6.088564396	4993.076172	91.63066864	92.37107849	5427.963867	1.473078609	2.195760489
8/13/2004 15:20	8.712362289	98.45397949	200.283432	384.9962769	I/O Timeout	I/O Timeout	47.32090378	42.94381332	79.64987183	I/O Timeout	130.8778687	I/O Timeout	198.7266693	201.2437897	203.729248	6.061226368	4991.171387	92.06620789	92.47553253	5411.707031	1.470174789	2.195423603
8/13/2004 15:25	8.729406357	98.40166473	200.4032898	384.9831848	I/O Timeout	I/O Timeout	47.29453278	43.45023727	79.97145081	I/O Timeout	130.9401398	I/O Timeout	198.5801697	201.1910553	203.9319458	6.081832409	4999.526855	93.0965271	92.5799942	5358.641602	1.472681165	2.198765278
8/13/2004 15:30	8.7305336	98.10998535	200.5231323	384.9701233	I/O Timeout	41.88909912	47.29453278	43.33390808	79.83999634	I/O Timeout	131.0023804	181.2769012	198.6402283	201.1383057	204.2265472	6.074970722	5004.097168	92.31210327	92.64253998	5353.150879	1.475187421	2.202106953
8/13/2004 15:35	8.727194786	98.0568924	200.7677917	384.9570313	I/O Timeout	I/O Timeout	47.90100098	43.21757507	79.70852661	I/O Timeout	131.0691376	I/O Timeout	198.6797791	201.0855865	204.2792664	6.110660076	5017.83252	91.94425964	92.51422882	5360.606445	1.477693558	2.205448627
8/13/2004 15:40	8.713309288	97.94702148	200.7403259	384.9439697	I/O Timeout	I/O Timeout	47.76915741	43.10124588	79.50450897	I/O Timeout	131.0220947	I/O Timeout	198.6797791	201.2737122	204.3320007	6.064295769	5042.755859	91.92175293	92.38591003	5364.088379	1.480199933	2.208790302
8/13/2004 15:45	8.733633995	97.86854553	200.7128448	384.9579468	I/O Timeout	I/O Timeout	47.09677505	43.57664871	79.59479523	I/O Timeout	130.9750366	I/O Timeout	198.6797791	201.6329803	204.3847504	6.029939651	4949.799316	91.90802002	92.25759125	5393.975586	1.478177309	2.207498074
8/13/2004 15:50	8.716223717	97.4416275	200.6853943	384.9725342	378.9654541	41.71902466	47.35233688	43.68376541	79.68507385	1.484943509	130.9279938	181.1086426	198.6797791	201.6856995	204.4374847	6.037763596	4911.831543	91.79968262	92.12927246	5430.484863	1.476062417	2.206111193
8/13/2004 15:55	8.714120865	97.90399933	200.6579285	384.9871216	378.9718323	41.65310287	47.50446701	43.76616287	79.77536011	1.47900331	130.8809509	181.0458679	198.6797791	201.5392151	204.1247711	6.046654224	4909.189453	92.7990799	92.21424103	5435.312988	1.473947406	2.204724312
8/13/2004 16:00	8.72940731	97.48851776	200.6046448	385.0016479	378.9781189	41.58718491	47.65658569	43.84856796	79.86563873	1.470992327	130.4430695	180.983078	198.767868	201.2029877	204.0852051	6.042134285	4921.210449	93.38130188	92.359375	5400.533691	1.471832514	2.203337431
8/13/2004 16:05	8.715079308	97.91478729	200.7348938	385.0101929	378.9844971	41.52126312	47.30244446	43.07565689	79.81800079	1.470992327	130.8990784	180.9203033	198.8577576	201.3044128	204.0852051	6.048602581	4946.901367	92.83568573	92.50450897	5381.201172	1.469355583	2.202734947
