Dimension,Input Units,Output Units,Input Value,Output Value,Result,Notes
pressure,pounds per square inch,pounds per square inch absolute,1,15.695949,,
pressure,atmosphere,pounds per square inch,1,14.695949,,
pressure,kilogram per square centimeter,pounds per square inch,1,14.223344,,
pressure,kilogram per square centimeter,pounds per square inch absolute,1,28.919293,,
pressure,bar,pounds per square inch,1,14.503774,,
pressure,pascal,pounds per square inch,1000,0.145038,,
pressure,kilopascal,pounds per square inch,1,0.145038,,
pressure,atmosphere,kilogram per square centimeter,1,1.033227,,
pressure,atmosphere,bar,1,1.01325,,
pressure,atmosphere,pascal,1,101325,,
pressure,bar,kilogram per square centimeter,1,1.019716,,
pressure,bar,pascal,1,100000,,
pressure,kilogram per square centimeter,pascal,1,98066.5,,
pressure,kilogram per square centimeter,kilopascal,1,98.0665,,
pressure,atmosphere,atmosphere absolute,1,2,,
pressure,bar,bar absolute,1,2.01325
pressure,kilogram per square centimeter,kilogram per square centimeter absolute,1,2.033227
pressure,pounds per square inch,kilogram per square centimeter absolute,1,1.103534
pressure,pascal,pascal absolute,1,101326
pressure,kilopascal,kilopascal absolute,1,102.325
pressure,kilopascal,pascal,1,1000
pressure,inches water,millimeter mercury,1,1.8682696
pressure,inches water,millibar,1,2.490889
pressure,millimeter mercury,millibar,1,1.33322
length,feet,inches,1,12
length,meter,feet,1,3.28084
length,inches,centimeter,1,2.54
length,meter,inches,1,39.370079
area,square meter,square feet,1,10.76391
volume,cubic meter,cubic feet,1,35.314667
volume,cubic meter,gallon,1,264.172052
volume,cubic meter,liters,1,1000,,
volume,cubic feet,liters,1,28.316847,,
volume,cubic feet,gallon,1,7.480519,,
volume,gallon,liters,1,3.785412,,US liquid
volume,cubic meter,kiloliters,1,1,,
volume,cubic feet,kiloliters,1,0.028317,,
volume,gallon,kiloliters,1000,3.785411784,,
volumetric-flow,cubic feet per hour,cubic meter per hour,1,0.0283168,,
volumetric-flow,thousand cubic feet per hour,cubic feet per hour,1,1000,,
volumetric-flow,million cubic feet per hour,cubic feet per hour,1,1000000,,
volumetric-flow,million cubic feet per hour,thousand cubic feet per hour,1,1000,,
volumetric-flow,thousand cubic feet per hour,cubic meter per hour,1,28.316844,,
volumetric-flow,thousand cubic feet per hour,thousand cubic meter per hour,1,0.0283168,,
volumetric-flow,cubic feet per hour,gallon per minute,1,0.1246753,,
volumetric-flow,cubic meter per hour,gallon per minute,1,4.4028673,,
volumetric-flow,thousand cubic meter per hour,cubic meter per hour,1,1000,,
volumetric-flow,cubic feet per hour,cubic feet per day,1,24
volumetric-flow,cubic feet per hour,thousand cubic feet per day,1,0.024
volumetric-flow,cubic feet per hour,million cubic feet per day,1,0.000024
volumetric-flow,thousand cubic feet per hour,cubic feet per day,1,24000
volumetric-flow,thousand cubic feet per hour,thousand cubic feet per day,1,24
volumetric-flow,thousand cubic feet per hour,million cubic feet per day,1,0.024
volumetric-flow,million cubic feet per hour,cubic feet per day,1,24000000
volumetric-flow,million cubic feet per hour,thousand cubic feet per day,1,24000
volumetric-flow,million cubic feet per hour,million cubic feet per day,1,24
volumetric-flow,cubic meter per hour,cubic meter per day,1,24
volumetric-flow,cubic meter per hour,thousand cubic meter per day,1,0.024
volumetric-flow,cubic meter per hour,million cubic meter per day,1,0.000024
volumetric-flow,thousand cubic meter per hour,cubic meter per day,1,24000
volumetric-flow,thousand cubic meter per hour,thousand cubic meter per day,1,24
volumetric-flow,thousand cubic meter per hour,million cubic meter per day,1,0.024
volumetric-flow,million cubic meter per hour,cubic meter per day,1,24000000
