Dimension,Input Units,Output Units,Equation Type,Multiplier,Offset
pressure,pounds per square inch,pounds per square inch absolute,Offset-Only,1,14.696
pressure,atmosphere absolute,pounds per square inch absolute,Multiplier-Only,14.696,
pressure,atmosphere,pounds per square inch,Multiplier-Only,14.696,0
pressure,kilogram per square centimeter,pounds per square inch,Multiplier-Only,14.223343,0
pressure,kilogram per square centimeter absolute,pounds per square inch absolute,Multiplier-Only,14.223343,0
pressure,kilogram per square centimeter,pounds per square inch absolute,Multiply-First,14.223343,14.696
pressure,bar,pounds per square inch,Multiplier-Only,14.5038,0
pressure,bar absolute,pounds per square inch absolute,Multiplier-Only,14.5038,0
pressure,pounds per square inch,pascal,Multiplier-Only,6894.7,0
pressure,pounds per square inch absolute,pascal absolute,Multiplier-Only,6894.7,0
pressure,pounds per square inch,kilopascal,Multiplier-Only,6.8947,0
pressure,pounds per square inch absolute,kilopascal absolute,Multiplier-Only,6.8947,0
pressure,atmosphere,kilogram per square centimeter,Multiplier-Only,1.03323,0
pressure,atmosphere absolute,kilogram per square centimeter absolute,Multiplier-Only,1.03323,0
pressure,atmosphere,bar,Multiplier-Only,1.01325,0
pressure,atmosphere absolute,bar absolute,Multiplier-Only,1.01325,0
pressure,atmosphere,pascal,Multiplier-Only,101325,0
pressure,atmosphere absolute,pascal absolute,Multiplier-Only,101325,0
pressure,bar,kilogram per square centimeter,Multiplier-Only,1.019719,0
pressure,bar absolute,kilogram per square centimeter absolute,Multiplier-Only,1.019719,0
pressure,bar,pascal,Multiplier-Only,100000,0
pressure,bar absolute,pascal absolute,Multiplier-Only,100000,0
pressure,kilogram per square centimeter,pascal,Multiplier-Only,98066.5,0
pressure,kilogram per square centimeter absolute,pascal absolute,Multiplier-Only,98066.5,0
pressure,kilogram per square centimeter,kilopascal,Multiplier-Only,98.0665,0
pressure,kilogram per square centimeter absolute,kilopascal absolute,Multiplier-Only,98.0665,0
pressure,atmosphere,atmosphere absolute,Offset-Only,1,1
pressure,bar,bar absolute,Offset-Only,1,1.01325
pressure,kilogram per square centimeter,kilogram per square centimeter absolute,Offset-Only,1,1.03323
pressure,pounds per square inch,kilogram per square centimeter absolute,Multiply-First,0.070307,1.03323
