pounds per square inch,lb/in2,psi,psig,,,
pounds per square inch absolute,psia,,,,,
kilogram per square centimeter,kg/cm2,,,,,
kilogram per square centimeter absolute,kg/cm2 abs,,,,,
atmosphere,atm,,,,,
atmosphere absolute,atm absolute,atm abs,,,,
bar,bar,bars,,,,
bar absolute,bar absolute,bar abs,bars abs,,,
pascal,pa,pascal,pascals,,,
pascal absolute,pa absolute,pa abs,,,,
kilopascal,kpa,,,,,
kilopascal absolute,kpa absolute,kpa abs,,,,
inches water,in h2o,in water,inch h2o,inches h2o,,
millimeter mercury,mm Hg,,,,,
millibar,mbar,mbars,millibar,millibars,,
cubic feet per hour,cfh,ft3/h,ft3/hr,feet3/h,feet3/hr,scfh
thousand cubic feet per hour,mcfh,mft3/h,mft3/hr,mscfh,
million cubic feet per hour,mmcfh,mmft3/h,mmft3/hr,mmscfh,
cubic feet per day,cfd,ft3/d,ft3/dy,ft3/day,scfd
thousand cubic feet per day,mcfd,mft3/d,mft3/dy,mft3/day,mscfd
million cubic feet per day,mmcfd,mmft3/d,mmft3/dy,mmft3/day,mmscfd
cubic meter per hour,m3/h,m3/hr,,,
thousand cubic meter per hour,km3/h,km3/hr,,,
cubic meter per day,m3/d,m3/dy,m3/day,,
thousand cubic meter per day,km3/d,km3/dy,km3/day,,
gallon per minute,gpm,gal/min,,,
inches,in,inch,inches,,
feet,ft,feet,foot,,
centimeter,cm,,,,
meter,m,meter,meters,,
square feet,ft2,foot2,feet2,,
square meter,m2,meter2,,,
cubic meter,m3/h,meter3,
cubic feet,ft3,foot3,feet3
gallon,gal,gallon,
liters,l,liter,
kiloliters,kl,kiloliter,
pounds per hour,lb/hr,lb/h,
thousand pounds per hour,mlb/hr,mlb/h,
kilograms per hour,kg/hr,kg/h,
btu per cubic foot degree fahrenheit,btu/ft3-F,btu/ft3-deg F,
kilojoule per cubic meter degree celsius,kj/m3-C,kj/m3-deg C,
kilocalorie per cubic meter degree celsius,kcal/m3-C,kcal/m3-deg C,
degrees fahrenheit,F,deg F,degree F
degrees rankine,R,deg R,degree R
degrees celsius,C,deg C,degree C
degrees kelvin,K,deg K,degree K
kilograms,kg,,
pounds,lb,
grams,gram,
grains,grain,
metric tons,tonne,
short tons,short ton,
long tons,long ton,
btu per pound degree fahrenheit,btu/lb-F,btu/lb-deg F
kilojoule per kilogram degree celsius,kj/kg-C,kj/kg-deg C
kilocalorie per kilogram degree celsius,kcal/kg-C,kcal/kg-deg C
pounds per cubic foot,lb/ft3,lbs/ft3
kilograms per cubic meter,kg/m3,
pounds per gallon,lb/gal,lbs/gal
cubic meters per kilogram,m3/kg,
cubic feet per pound,ft3/lb,
btu per hour,btu/h,btu/hr
thousand btu per hour,mbtu/h,mbtu/hr
million btu per hour,mmbtu/h,mmbtu/hr,
btu per day,btu/day,btu/dy,btu/d
thousand btu per day,mbtu/day,mbtu/dy,mbtu/d
million btu per day,mmbtu/day,mmbtu/dy,mmbtu/d
kilojoule per hour,kj/h,kj/hr,
megajoule per hour,mj/h,mj/hr,
gigajoule per hour,gj/h,gj/hr,
kilojoule per day,kj/day,kj/dy,kj/d
megajoule per day,mj/day,mj/dy,mj/d
gigajoule per day,gj/day,gj/dy,gj/d
kilowatt,kw,kwatt,
megawatt,mw,mwatt,
horsepower,hp,,
calorie per hour,cal/h,cal/hr,
kilocalorie per hour,kcal/h,kcal/hr,
megacalorie per hour,mcal/h,mcal/hr,
gigacalorie per hour,gcal/h,gcal/hr,
kilocalorie per day,kcal/day,kcal/dy,kcal/d
megacalorie per day,mcal/day,mcal/dy,mcal/d
gigacalorie per day,gcal/day,gcal/dy,gcal/d
btu per hour square foot degree fahrenheit,btu/hr-ft2-F,,
kilojoules per hour square meter degree celsius,kj/hr-m2-C,kj/hr-m2-K,
kilocalorie per hour square meter degree celsius,kcal/hr-m2-C,kcal/hr-m2-K,
btu per pound,btu/lb,,
kilojoule per kilogram,kj/kg,,
kilocalorie per kilogram,kcal/kg,,
btu per cubic foot,btu/ft3,btu/cf,
kilojoule per cubic meter,kj/m3,,
kilocalorie per cubic meter,kcal/m3,,
weeks,wk,week,
days,day,dy,
hours,hour,hr,hrs
minutes,minute,min,,
seconds,second,sec,,
pounds per cubic foot degree fahrenheit,lb/ft3/F,lb/cf/F,lb/ft3/deg F,lb/cf/deg F
kilograms per cubic meter degree celsius,kg/m3/C,kg/m3/deg C,,
cubic feet per pound mole,ft3/lb-mole,ft3/lb mole,ft3/lb-mol,ft3/lb mol
cubic meters per kilogram mole,m3/kg-mole,m3/kg mole,m3/kg-mol,m3/kg mol
foot pounds force per hour,ft-lbf/hr,,,
meter kilograms force per hour,m-kgf/hr,,,
volt,volts,,,
kilovolt,kilovolts,kv,,
megavolt,megavolts,mv,,
amp,amps,,,
milliamp,milliamps,,,
