Time,fi-1001-pv,fc-1011-pv,fc-1012-pv,fc-1002-pv,ti-1001-pv,ti-1011-pv,ti-1012-pv,ti-1013-pv,ti-1014-pv,ti-1015-pv,ti-1016-pv,ti-1021-pv,ti-1022-pv,ti-1023-pv,ti-1024-pv,ti-1025-pv,ti-1026-pv,tc-1002-pv,ai-1001-pv,ai-1002-pv,ai-1010-pv,pi-1050-pv,pi-1002-pv,pc-1611-pv
0,1300.31,653.41,649.75,1567.12,69.90,437.71,835.11,840.68,844.21,853.55,862.56,441.11,832.56,839.30,848.62,852.73,861.82,439.4081568,1.58,15.97,932.99,-186.38,81.75,108.81
1,1309.05,652.18,645.69,1563.35,71.17,438.81,833.34,840.30,847.68,853.50,860.74,437.38,834.60,841.80,848.19,851.29,861.32,438.097806,1.59,14.12,934.62,-192.59,81.85,107.64
2,1299.52,653.39,649.70,1567.27,71.74,437.98,836.34,838.14,843.27,852.92,862.46,439.53,835.77,838.77,843.80,852.67,860.68,438.7550707,1.56,16.09,936.26,-191.05,81.66,109.22
3,1293.44,652.09,645.57,1565.31,68.98,440.32,835.69,841.12,845.28,855.07,861.08,440.53,835.32,838.26,843.94,854.56,862.57,440.4290808,1.64,14.46,931.05,-193.89,82.43,106.91
4,1307.77,652.13,648.22,1566.94,68.22,437.68,832.55,839.92,848.10,854.51,862.40,441.22,833.60,839.99,844.04,855.20,863.32,439.4463443,1.36,13.54,922.39,-191.29,81.66,108.67
5,1307.74,646.42,653.19,1560.22,71.53,437.18,836.17,840.26,848.23,855.03,861.09,438.75,837.13,841.16,843.50,854.94,862.35,437.9713678,1.49,14.97,926.11,-185.93,82.30,106.88
6,1308.90,645.31,647.42,1563.45,71.13,438.84,837.30,840.40,847.35,854.42,862.79,441.08,832.98,841.80,845.05,851.05,862.27,439.9634601,1.42,14.85,933.44,-194.58,81.75,107.12
7,1294.84,645.93,654.12,1563.33,71.43,439.17,836.62,838.45,847.90,852.30,863.13,441.29,836.55,839.47,847.51,852.31,863.19,440.2337472,1.64,14.94,936.31,-189.87,82.07,109.18
8,1299.66,652.14,653.96,1553.57,69.88,440.76,834.34,838.61,843.27,855.34,861.99,437.71,834.04,841.64,844.47,850.91,862.72,439.2304494,1.49,13.80,937.53,-194.22,81.54,108.29
9,1303.87,652.38,650.92,1564.34,71.77,441.41,835.46,841.59,848.37,852.18,862.37,439.25,835.68,841.55,845.09,851.49,861.08,440.3320741,1.45,14.89,925.89,-188.44,81.99,108.28
