IATO-EVENT-NAME-RESOURCE
""
ENGLISH
kc_amine_evap_loss,"Evaporative Loss"
kc_amine_foaming,"Foaming"
kc_amine_feed_t_high,"Feed Gas Temperature High"
kc_amine_delta_p_noisy,"Noisy Delta Pressure"
kc_amine_delta_p_high,"Delta Pressure Projected High"
kc_amine_load_low,"Amine Loading Projected Low"
kc_amine_load_high,"Amine Loading Projected High"
kc_amine_delta_t_low,"Feed/Amine Delta Temperature High"
kc_amine_min_ln_flow,"Minimum Amine Flow"
kc_amine_ln_sv_high,"Amine Space Velocity"
kc_amine_hc_sv_high,"Hydrocarbon Space Velocity"
kc_amine_ratio_low,"Amine Ratio Low Limit"
kc_amine_ratio_high,"Amine Ratio High Limit"
kc_amine_level_swing,"Level Swing Detection"
kc_amine_level_flat_line,"Level Flat-Line Detection"
kc_amine_carryover,"Carryover"
kc_amine_in_service,"In Service"
kc_amine_lean_t_high,"Lean Amine Temperature High"
kc_amine_hc_entrainment,"Hydrocarbon Entrainment"
