ICCO-EVENT-NAME-RESOURCE
""
ENGLISH
kc_centr_comp_amps_high,"Amps Projected High"
kc_centr_comp_stg_polytropic_hd_s_dec,"Polytropic Head Severe Change"
kc_centr_comp_stg_eff_s_dec,"Efficiency Severe Decrease"
kc_centr_comp_stg_low_eff,"Efficiency Low"
kc_centr_comp_stg_interstage_cooling_s_dec,"Interstage Cooling Delta T Severe Decrease"
kc_centr_comp_stg_delta_suction_temp_high,"Delta Suction Temperature Projected High"
kc_centr_comp_stg_pres_mismatch,"Stage Pressure Mismatch"
kc_centr_comp_stg_unbalanced,"Stage Unbalanced"
kc_centr_comp_stg_c_ratio_s_dec,"Compression Ratio Severe Decrease"
kc_centr_comp_stg_vibration_high,"Vibration Projected High"
kc_centr_comp_stg_pow_high,"Power Projected High"
kc_centr_comp_stg_suction_temp_high,"Suction Temperature Projected High"
kc_centr_comp_swing,"Compressor Swing Detection"
kc_centr_comp_polytropic_hd_s_chg,"Polytropic Head Severe Change"
kc_centr_comp_pow_high,"Power Projected High"
kc_centr_comp_eff_low,"Efficiency Low"
kc_centr_comp_vibration_high,"Vibration Projected High"
kc_centr_comp_suction_co_low,"Suction Controller Output Projected Low"
kc_centr_comp_suction_co_high,"Suction Controller Output Projected High "
kc_centr_comp_discharge_co_low,"Discharge Controller Output Projected Low"
kc_centr_comp_discharge_co_high,"Discharge Controller Output Projected High"
kc_centr_comp_spillback_co_low,"Spillback Controller Output Projected Low"
kc_centr_comp_spillback_co_high,"Spillback Controller Output Projected High "
kc_centr_comp_c_ratio_s_dec,"Compressor Ratio Severe Decrease"
kc_centr_comp_in_service,"In Service"
kc_centr_comp_eff_s_dec,"Efficiency Severe Decrease"
