IDCO-EVENT-NAME-RESOURCE
""
ENGLISH
kc_column_feed_f_swing,"Feed Flow Swing Detection"
kc_column_oh_key_comp_s_chg,"Overhead Key Component Severe Change"
kc_column_oh_key_comp_low,"Overhead Key Component Projected Low"
kc_column_oh_key_comp_high,"Overhead Key Component Projected High"
kc_column_btms_key_comp_s_chg,"Bottoms Key Component Severe Change"
kc_column_btms_key_comp_low,"Bottoms Key Component Projected Low"
kc_column_btms_key_comp_high,"Bottoms Key Component Projected High"
kc_column_oh_p_high,"Overhead Pressure Projected High"
kc_column_dp_high,"Delta Pressure Projected High"
kc_column_q_to_f_high,"Q/F Ratio Projected High"
kc_column_q_to_f_low,"Q/F Ratio Projected Low"
kc_column_r_to_f_high,"R/F Ratio Projected High"
kc_column_r_to_f_low,"R/F Ratio Projected Low"
kc_column_feed_t_s_chg,"Feed Temperature Severe Change"
kc_column_feed_f_s_chg,"Feed Flow Severe Change"
kc_column_in_service,"In Service"
kc_column_reboil_ltd,"Reboil Limited"
