ISO-EVENT-NAME-RESOURCE
""
ENGLISH
kc_sensor_proj_low,"Projected Low"
kc_sensor_proj_high,"Projected High"
kc_sensor_lo_limit,"Low Limit"
kc_sensor_lo_target,"Target Low Limit"
kc_sensor_hi_target,"Target High Limit"
kc_sensor_hi_limit,"High Limit"
kc_sensor_changing,"Slope Change"
kc_sensor_noisy,"Noisy Detection"
kc_int_sensor_limit_events,"NOT/APPLICABLE - NEVER GENERATED"
kc_sensor_in_service,"In Service"
kc_sensor_2nd_mismatch,"Second Sensor Mismatch"
kc_sensor_inf_mismatch,"Inferred Sensor Mismatch"
kc_analyzer_lab_mismatch,"Lab Mismatch"
kc_sensor_flat_line,"Flat-Line Detection"
kc_sensor_spike,"Spike Detection"
kc_sensor_severe_chg,"Severe Change"
kc_sensor_swing,"Swing Detection"
kc_sensor_invalid,"Sensor Validation"
