ITO-EVENT-NAME-RESOURCE
""
ENGLISH
kc_tank_eta_to_stop,"ETA to Stop"
kc_ball_tank_high_pres,"Pressure Projected High"
kc_tank_proj_high_temp,"Temperature Projected High"
kc_tank_stepping_level,"Stepping Level"
kc_tank_corrupted_table,"Corrupt Table Detection"
kc_tank_vol_flow_mismatch,"Volume/Flow Mismatch"
kc_tank_moving_but_still,"Moving Tank Still"
kc_tank_still_but_moving,"Still Tank Moving"
kc_tank_level_severe_chg,"Level Severe Change"
kc_tank_roc_mismatch,"Level ROC Mismatch"
kc_tank_in_service,"In Service"
kc_tank_chg_on_fill_empty,"Level Change on Fill/Empty"
