Date,Melt Index- Lab,Hydrogen Concentration,Alkyl,Catalyst,Electron Donor,Hydrogen Flow,Propylene,Recycle Gas ,Density, Level,Production Rate,Residence,Catalyst Activity,Reactor Solids,Total BTU's,Agitator Amps,Al/Ti Ratio,Alkyl/Donor Ratio,Reflux Liquid Flow,Reactor PSIG,Lower Jacket temp,Btms Temp.,Reactor Temp
,,ppm,PPH,LB/HR,PPH,SCFH,GPM,SCFH,SPGR,INCHES,LB/HR,MIN,lb/hr*lb,%,Btus,AMPS,lb/lb,lb/lb,GPM,PSIG,DEG F,DEG F,DEG F
4/1/2004 0:00,18.6,4621,13.91,10.7,2.4,2333.7,293.6,276786.8,0.5,60.5,47327.9,59.4,17041.7,61.2,41175292,169.4,78,9.9,1180.7,476.8,164,164,164.2
4/1/2004 0:10,,,14.04,10.6,2.5,2361.7,289.8,271525.7,0.5,61.4,46578.3,60.3,16508.1,61,40523112,163.2,76.6,9.8,1146.5,479.5,164,163.9,164.2
4/1/2004 0:20,,,13.94,10.2,2.4,2242.1,286.3,270078.9,0.5,60.9,47753.4,60.5,17021.3,62.6,41545432,167.4,77.7,9,1061.8,477.9,164,163.9,163.9
4/1/2004 0:30,,,14.08,10.1,2.5,2268,282.7,272401.1,0.5,60.1,47311.7,60.9,18991.1,62.4,41161208,165.3,72.5,10.1,1184.3,477.7,164,163.9,163.8
4/1/2004 0:40,,,13.97,10.9,2.4,2348.6,285.1,272508,0.5,59.8,47916.9,60.3,18327.8,63.3,41687712,166.8,80.9,10.3,1141.9,477.6,163.9,163.9,163.7
4/1/2004 0:50,,,14.06,9.8,2.3,2356.4,289,274722.8,0.5,58.9,47389.2,59.3,17240.9,61.8,41228584,166.2,75.1,9.4,1105,477.4,163.9,163.9,163.6
4/1/2004 1:00,,,14.08,10.7,2.3,2260.9,291.5,266121.4,0.5,58.7,46535.5,59.3,18938.8,60.7,40485872,170.4,82.9,8.9,1108.8,477.2,163.9,164,163.5
4/1/2004 1:10,,,14.14,10.5,2.3,2191.2,289.8,264114.3,0.5,60.2,47020.9,59.1,17444.8,60.9,40908176,164.9,78.8,9.7,1137.3,477,163.9,164,163.5
4/1/2004 1:20,,,14.06,10.2,2.4,2236.8,288,261382.8,0.5,61.4,45113.5,59.7,18557.6,58.8,39248712,163.1,76.9,10.3,1025.8,478.5,163.9,164,163.7
4/1/2004 1:30,18.6,4621,14.01,10.7,2.4,2233.2,284.8,269176,0.5,61.8,46065.5,61.1,16318.1,61.4,40076944,164.5,77.2,10.2,1084.3,477,164,164,164
4/1/2004 1:40,,,13.82,10.3,2.2,2178.5,280.6,271837.4,0.5,61.8,46646,62.7,18397.7,64.2,40582008,165.8,78.1,11,1170.7,477.6,164,164,164.2
4/1/2004 1:50,,,14.21,11.2,2.2,2188,278.2,253236.8,0.5,60.1,45314.2,61.2,16668.1,61.3,39423384,167.9,82.3,9.9,1097.8,478,164,164,163.8
4/1/2004 2:00,,,13.98,9.9,2.3,2243.5,283.5,268550.3,0.5,58.8,46261,60.5,17527.2,62.1,40247088,167.3,72.6,9.6,1031.9,477.2,164.1,164,164
4/1/2004 2:10,,,13.99,11.2,2.4,2177,281.6,270157.5,0.5,58.8,45374,59.6,17170.8,59.9,39475348,162.3,83.1,9.9,1035.5,478.6,164.1,164,164.1
4/1/2004 2:20,,,13.98,9.8,2.4,2213.9,286.9,273205.6,0.5,59.6,45912,59.9,16890.3,60.7,39943456,162,72.5,10.3,1038.8,476.9,164.2,164,163.8
4/1/2004 2:30,,,13.9,10.9,2.2,2158.7,288.5,276714.7,0.5,60.3,45202,60.4,17398,60.2,39325712,162,83.7,10.1,1064.8,478.7,164.2,164,164.1
4/1/2004 2:40,,,14.05,9.9,2.3,2138.8,282.1,275590.5,0.5,61,46503.8,61,17170,61.9,40458336,158.5,74.6,10,1062.5,476.9,164.2,164,163.9
4/1/2004 2:50,,,13.86,11.1,2.2,2219.4,279,280253.7,0.5,60.9,45401.8,61.3,16883.8,61.2,39499540,163.7,84.4,9.7,1133.9,478.2,164.2,164,163.9
4/1/2004 3:00,,,13.64,10,2.3,2233.2,277.1,275919.2,0.5,60.9,46046.8,61.4,17477.9,62,40060704,163.4,72.7,9.2,1129.7,476.9,164.2,164,164.1
4/1/2004 3:10,,,13.69,11.2,2.3,2161.8,276.1,273038.7,0.5,60.3,45510.9,61.6,16615.5,61.7,39594464,163.3,80,9.4,1116.4,478.4,164.2,164,164.2
4/1/2004 3:20,,,13.95,10.3,2.4,2184.5,278.6,273694.7,0.5,59.4,45879.4,61.6,17608.9,62.6,39915044,164.6,72,9.8,1089.3,477.3,164.2,164,164
4/1/2004 3:30,18.1,4564,14.05,11.2,2.4,2193.6,282.9,274018.4,0.5,59.3,45098.1,60.2,16707.3,60.3,39235344,161.4,79.4,9.9,1076.3,478.2,164.2,164.1,163.8
4/1/2004 3:40,,,13.95,10.4,2.4,2289.1,282.9,289461.2,0.5,59.6,46215.6,60.4,18473.2,61.4,40207528,166.3,75.5,10.3,1041.4,477.5,164.2,164.1,163.9
